buyer,COUNTRY,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
Ajanta Pharma Ltd,CHINA,202507,KG,USP,625.0,7618800.0,12190.08,Buyer,Ajanta Pharma Ltd
Ajanta Pharma Ltd,CHINA,202509,KG,USP,200.0,2487800.0,12439.0,Buyer,Ajanta Pharma Ltd
Ajanta Pharma Ltd,CHINA,202512,KG,USP,750.0,9723450.0,12964.6,Buyer,Ajanta Pharma Ltd
Ajanta Pharma Ltd,CHINA,202602,KG,USP,1300.0,16964740.0,13049.8,Buyer,Ajanta Pharma Ltd
Alembic Pharmaceuticals Ltd,CHINA,202504,KG,USP,17000.0,201193350.0,11834.902941176471,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202505,KG,IP,6000.0,72576000.0,12096.0,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202506,KG,IP,10000.0,121834998.0,12183.4998,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202507,KG,IP,5000.0,59909000.0,11981.8,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202508,KG,USP,6000.0,64079100.0,10679.85,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202509,KG,IP,10000.0,124390000.0,12439.0,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202512,KG,IP,10000.0,126560000.0,12656.0,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202601,KG,IP,14000.0,179464800.0,12818.914285714285,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202601,KG,USP,3200.0,36480000.0,11400.0,Buyer,Alembic Pharmaceuticals Ltd
Alembic Pharmaceuticals Ltd,CHINA,202602,KG,USP,2800.0,31920000.0,11400.0,Buyer,Alembic Pharmaceuticals Ltd
Amn Life Science Pvt Ltd,CHINA,202509,KG,USP,600.0,7636200.0,12727.0,Buyer,Amn Life Science Pvt Ltd
Amn Life Science Pvt Ltd,CHINA,202512,KG,USP,1200.0,15838304.0,13198.586666666666,Buyer,Amn Life Science Pvt Ltd
Anm Pharma Pvt Ltd,CHINA,202507,KG,USP,250.0,3020687.25,12082.749,Buyer,Anm Pharma Pvt Ltd
Anuh Pharma Ltd,CHINA,202505,KG,USP,1000.0,11418719.0,11418.719,Buyer,Anuh Pharma Ltd
Anuh Pharma Ltd,CHINA,202506,KG,USP,1000.0,11281856.0,11281.856,Buyer,Anuh Pharma Ltd
Anuh Pharma Ltd,CHINA,202507,KG,USP,4000.0,43421496.0,10855.374,Buyer,Anuh Pharma Ltd
Anuh Pharma Ltd,CHINA,202508,KG,IP,5000.0,61606528.0,12321.3056,Buyer,Anuh Pharma Ltd
Anuh Pharma Ltd,CHINA,202601,KG,USP,500.0,6356000.0,12712.0,Buyer,Anuh Pharma Ltd
Anuh Pharma Ltd,CHINA,202602,KG,USP,3000.0,33899796.0,11299.932,Buyer,Anuh Pharma Ltd
Aquatic Remedies Ltd,CHINA,202506,KG,IP,6000.0,71877482.0,11979.580333333333,Buyer,Aquatic Remedies Ltd
Aquatic Remedies Ltd,CHINA,202507,KG,IP,7700.0,91287890.0,11855.57012987013,Buyer,Aquatic Remedies Ltd
Aquatic Remedies Ltd,CHINA,202511,KG,IP,750.0,8928974.0,11905.298666666667,Buyer,Aquatic Remedies Ltd
Aquatic Remedies Ltd,CHINA,202512,KG,USP,3000.0,38903656.0,12967.885333333334,Buyer,Aquatic Remedies Ltd
Aquatic Remedies Ltd,CHINA,202601,KG,IP,5000.0,63575944.0,12715.1888,Buyer,Aquatic Remedies Ltd
Aquatic Remedies Ltd,CHINA,202601,KG,USP,2000.0,25907430.0,12953.715,Buyer,Aquatic Remedies Ltd
Aurobindo Pharma Ltd,CHINA,202507,KG,USP,3125.0,44891876.0,14365.40032,Buyer,Aurobindo Pharma Ltd
Aurobindo Pharma Ltd,CHINA,202509,KG,USP,2300.0,33820752.0,14704.674782608696,Buyer,Aurobindo Pharma Ltd
Aurobindo Pharma Ltd,CHINA,202512,KG,USP,1100.0,16612062.0,15101.874545454546,Buyer,Aurobindo Pharma Ltd
Aurobindo Pharma Ltd,CHINA,202601,KG,USP,875.0,13148975.0,15027.4,Buyer,Aurobindo Pharma Ltd
Bal Pharma Ltd,CHINA,202504,KG,IP,250.0,3031000.0,12124.0,Buyer,Bal Pharma Ltd
Bal Pharma Ltd,CHINA,202504,KG,USP,500.0,6062000.0,12124.0,Buyer,Bal Pharma Ltd
Bal Pharma Ltd,CHINA,202505,KG,IP,250.0,2994250.0,11977.0,Buyer,Bal Pharma Ltd
Bal Pharma Ltd,CHINA,202509,KG,USP,4000.0,49224000.0,12306.0,Buyer,Bal Pharma Ltd
Bharat Parenterals Ltd,CHINA,202601,KG,USP,920.0,11695040.0,12712.0,Buyer,Bharat Parenterals Ltd
Bliss Gvs Pharma Ltd,CHINA,202509,KG,EP,1050.0,15690150.0,14943.0,Buyer,Bliss Gvs Pharma Ltd
Bliss Gvs Pharma Ltd,CHINA,202509,KG,USP,2500.0,30927500.0,12371.0,Buyer,Bliss Gvs Pharma Ltd
Bliss Gvs Pharma Ltd,CHINA,202512,KG,USP,2875.0,36748248.0,12781.999304347826,Buyer,Bliss Gvs Pharma Ltd
Cadila Pharmaceuticals Ltd,CHINA,202505,KG,USP,670.3,8107949.0,12096.000298373863,Buyer,Cadila Pharmaceuticals Ltd
Cadila Pharmaceuticals Ltd,CHINA,202506,KG,USP,183.3,2249274.25,12270.99972722313,Buyer,Cadila Pharmaceuticals Ltd
Cadila Pharmaceuticals Ltd,CHINA,202601,KG,USP,1100.0,14245440.0,12950.4,Buyer,Cadila Pharmaceuticals Ltd
Calyx Chemicals And Pharmaceuticals Ltd,CHINA,202504,KG,USP,3000.0,32595000.0,10865.0,Buyer,Calyx Chemicals And Pharmaceuticals Ltd
Calyx Chemicals And Pharmaceuticals Ltd,CHINA,202505,KG,USP,2000.0,21045300.0,10522.65,Buyer,Calyx Chemicals And Pharmaceuticals Ltd
Caplin Point Laboratories Ltd,CHINA,202505,KG,USP,500.0,5983200.0,11966.4,Buyer,Caplin Point Laboratories Ltd
Central Drug House,CHINA,202504,KG,IP,1000.0,11938243.0,11938.243,Buyer,Central Drug House
Central Drug House,CHINA,202506,KG,IP,1000.0,11932466.0,11932.466,Buyer,Central Drug House
Century Pharmaceuticals Ltd,CHINA,202508,KG,USP,12000.0,130795196.0,10899.599666666667,Buyer,Century Pharmaceuticals Ltd
Century Pharmaceuticals Ltd,CHINA,202512,KG,USP,12000.0,132102000.0,11008.5,Buyer,Century Pharmaceuticals Ltd
Century Pharmaceuticals Ltd,CHINA,202601,KG,USP,12000.0,134611200.0,11217.6,Buyer,Century Pharmaceuticals Ltd
Credo Life Sciences Pvt Ltd,CHINA,202512,KG,USP,600.0,7625400.0,12709.0,Buyer,Credo Life Sciences Pvt Ltd
Credo Life Sciences Pvt Ltd,CHINA,202601,KG,USP,443.0,5711865.0,12893.60045146727,Buyer,Credo Life Sciences Pvt Ltd
Credo Life Sciences Pvt Ltd,CHINA,202602,KG,USP,500.0,6485850.0,12971.7,Buyer,Credo Life Sciences Pvt Ltd
Del Trade International Pvt Ltd,CHINA,202505,KG,IP,1975.0,23377680.0,11836.8,Buyer,Del Trade International Pvt Ltd
Del Trade International Pvt Ltd,CHINA,202509,KG,IP,2000.0,24564000.0,12282.0,Buyer,Del Trade International Pvt Ltd
Desource,CHINA,202506,KG,IP,1000.0,11884750.0,11884.75,Buyer,Desource
Desource,CHINA,202508,KG,IP,1000.0,12138200.0,12138.2,Buyer,Desource
Dilipkumar And Co,CHINA,202504,KG,IP,1500.0,17952792.0,11968.528,Buyer,Dilipkumar And Co
Dilipkumar And Co,CHINA,202505,KG,IP,1500.0,17767714.0,11845.142666666667,Buyer,Dilipkumar And Co
Dilipkumar And Co,CHINA,202506,KG,IP,3000.0,35607374.0,11869.124666666667,Buyer,Dilipkumar And Co
