supplier,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
Brillant Pharmaceutical Ltd,202505,Kg,IP,3000.0,35201572.0,11733.857333333333,Supplier,Brillant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202507,Kg,IP,13500.0,160542774.0,11892.057333333334,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202507,Kg,USP,9150.0,101647600.0,11109.027322404372,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202508,Kg,IP,13000.0,157867957.0,12143.689,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202508,Kg,USP,11000.0,119860164.0,10896.378545454545,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202509,Kg,EP,1000.0,11494300.0,11494.3,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202509,Kg,IP,4000.0,49152198.0,12288.0495,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202509,Kg,USP,6850.0,74309160.0,10848.052554744525,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202512,Kg,IP,2000.0,25558814.0,12779.407,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202601,Kg,IP,25000.0,319007220.0,12760.2888,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceutical Ltd,202602,Kg,IP,2000.0,25540704.0,12770.352,Supplier,Brilliant Pharmaceutical Ltd
Brilliant Pharmaceuticals Ltd,202504,Kg,IP,7000.0,83432470.0,11918.924285714285,Supplier,Brilliant Pharmaceuticals Ltd
Brilliant Pharmaceuticals Ltd,202505,Kg,IP,13800.0,162951220.0,11808.059420289856,Supplier,Brilliant Pharmaceuticals Ltd
Brilliant Pharmaceuticals Ltd,202505,Kg,USP,3000.0,35176586.0,11725.528666666667,Supplier,Brilliant Pharmaceuticals Ltd
Brilliant Pharmaceuticals Ltd,202506,Kg,IP,18000.0,215032414.0,11946.245222222222,Supplier,Brilliant Pharmaceuticals Ltd
Brilliant Pharmaceuticals Ltd,202506,Kg,USP,10000.0,107576200.0,10757.62,Supplier,Brilliant Pharmaceuticals Ltd
Brilliant Pharmaceuticals Ltd,202511,Kg,IP,1750.0,21286959.0,12163.976571428571,Supplier,Brilliant Pharmaceuticals Ltd
Brilliant Pharmaceuticals Ltd,202511,Kg,USP,6850.0,74795148.0,10918.999708029198,Supplier,Brilliant Pharmaceuticals Ltd
Cspc Ouyi Pharmaceutical Co Ltd,202505,Kg,USP,2900.0,37263375.0,12849.439655172413,Supplier,Cspc Ouyi Pharmaceutical Co Ltd
Cspc Ouyi Pharmaceutical Co Ltd,202506,Kg,USP,2000.0,25075106.0,12537.553,Supplier,Cspc Ouyi Pharmaceutical Co Ltd
Cspc Ouyi Pharmaceutical Co Ltd,202507,Kg,USP,5015.4,57435234.81,11451.775493480083,Supplier,Cspc Ouyi Pharmaceutical Co Ltd
Cspc Ouyi Pharmaceutical Co Ltd,202508,Kg,USP,2500.0,29600900.0,11840.36,Supplier,Cspc Ouyi Pharmaceutical Co Ltd
Cspc Ouyi Pharmaceutical Co Ltd,202509,Kg,USP,8981.7,123915898.62,13796.486034937707,Supplier,Cspc Ouyi Pharmaceutical Co Ltd
Cspc Ouyi Pharmaceutical Co Ltd,202511,Kg,USP,2000.0,24164999.5,12082.49975,Supplier,Cspc Ouyi Pharmaceutical Co Ltd
Cspc Ouyi Pharmaceutical Co Ltd,202512,Kg,USP,1000.0,12325500.0,12325.5,Supplier,Cspc Ouyi Pharmaceutical Co Ltd
Cspc Ouyi Pharmaceutical Co Ltd,202601,Kg,USP,1772.9,24733111.5,13950.652321055897,Supplier,Cspc Ouyi Pharmaceutical Co Ltd
Hangzhou Dawn Ray Pharmaceutical Co Ltd,202504,Kg,USP,1250.0,14719875.0,11775.9,Supplier,Hangzhou Dawn Ray Pharmaceutical Co Ltd
Hangzhou Dawn Ray Pharmaceutical Co Ltd,202506,Kg,USP,1000.0,11867400.5,11867.4005,Supplier,Hangzhou Dawn Ray Pharmaceutical Co Ltd
Hangzhou Dawn Ray Pharmaceutical Co Ltd,202512,Kg,USP,50.0,528050.0,10561.0,Supplier,Hangzhou Dawn Ray Pharmaceutical Co Ltd
Hangzhou Insure Chemical Co Ltd,202507,Kg,USP,333.0,4032163.81,12108.60003003003,Supplier,Hangzhou Insure Chemical Co Ltd
Hebei Guolong Pharmaceutical Co Ltd,202505,Kg,USP,4000.0,47855461.5,11963.865375,Supplier,Hebei Guolong Pharmaceutical Co Ltd
Hebei Guolong Pharmaceutical Co Ltd,202506,Kg,USP,4000.0,48713048.0,12178.262,Supplier,Hebei Guolong Pharmaceutical Co Ltd
Hebei Guolong Pharmaceutical Co Ltd,202507,Kg,USP,11000.0,129489449.0,11771.76809090909,Supplier,Hebei Guolong Pharmaceutical Co Ltd
Hebei Guolong Pharmaceutical Co Ltd,202508,Kg,USP,2000.0,24808000.0,12404.0,Supplier,Hebei Guolong Pharmaceutical Co Ltd
Hebei Guolong Pharmaceutical Co Ltd,202509,Kg,USP,1000.0,12446053.0,12446.053,Supplier,Hebei Guolong Pharmaceutical Co Ltd
Hebei Guolong Pharmaceutical Co Ltd,202511,Kg,USP,12000.0,144733541.0,12061.128416666666,Supplier,Hebei Guolong Pharmaceutical Co Ltd
Hebei Guolong Pharmaceutical Co Ltd,202512,Kg,USP,3000.0,38101050.0,12700.35,Supplier,Hebei Guolong Pharmaceutical Co Ltd
Hebei Guolonh Pharmaceutical Co Ltd,202509,Kg,USP,4000.0,49224000.0,12306.0,Supplier,Hebei Guolonh Pharmaceutical Co Ltd
Hebei Sunco Biotech Co Ltd,202504,Kg,IP,1000.0,11846510.0,11846.51,Supplier,Hebei Sunco Biotech Co Ltd
Hebei Sunco Biotech Co Ltd,202505,Kg,IP,1000.0,11729332.0,11729.332,Supplier,Hebei Sunco Biotech Co Ltd
Hebei Sunco Biotech Co Ltd,202509,Kg,IP,1000.0,12200914.0,12200.914,Supplier,Hebei Sunco Biotech Co Ltd
Heilongjiang Lianshun Biotech C,202509,Kg,USP,9400.0,102758012.0,10931.703404255319,Supplier,Heilongjiang Lianshun Biotech C
Heilongjiang Lianshun Biotech Co,202504,Kg,USP,15000.0,160247251.0,10683.150066666667,Supplier,Heilongjiang Lianshun Biotech Co
Heilongjiang Lianshun Biotech Co Ltd,202504,Kg,USP,16125.0,175925001.0,10910.07758139535,Supplier,Heilongjiang Lianshun Biotech Co Ltd
Heilongjiang Lianshun Biotech Co Ltd,202505,Kg,USP,31300.0,334407543.5,10683.947076677316,Supplier,Heilongjiang Lianshun Biotech Co Ltd
Heilongjiang Lianshun Biotech Co Ltd,202506,Kg,USP,22000.0,238021480.0,10819.158181818182,Supplier,Heilongjiang Lianshun Biotech Co Ltd
Heilongjiang Lianshun Biotech Co Ltd,202507,Kg,USP,40725.0,434692806.25,10673.856507059545,Supplier,Heilongjiang Lianshun Biotech Co Ltd
Heilongjiang Lianshun Biotech Co Ltd,202509,Kg,USP,25950.0,279663829.0,10777.026165703275,Supplier,Heilongjiang Lianshun Biotech Co Ltd
Heilongjiang Lianshun Biotech Co Ltd,202511,Kg,USP,39100.0,429413053.5,10982.431035805626,Supplier,Heilongjiang Lianshun Biotech Co Ltd
