api,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
LAMIVUDINE,202501,KG,IP,450.0,2689200.0,5976.0,Cipla,LAMIVUDINE
LAMIVUDINE,202501,KG,USP,16926.785,100904533.6309986,5961.2344358954515,Cipla,LAMIVUDINE
LAMIVUDINE,202502,KG,IP,100.0,597600.0,5976.0,Cipla,LAMIVUDINE
LAMIVUDINE,202502,KG,USP,21414.11,127326841.76393674,5945.93199362181,Cipla,LAMIVUDINE
LAMIVUDINE,202503,KG,USP,30134.44,181989309.84520635,6039.246451741143,Cipla,LAMIVUDINE
LAMIVUDINE,202504,KG,USP,19852.03,120030164.67060776,6046.241350159544,Cipla,LAMIVUDINE
LAMIVUDINE,202505,KG,USP,20397.38,120580135.18121365,5911.550168757636,Cipla,LAMIVUDINE
LAMIVUDINE,202506,KG,IP,400.0,2424908.0,6062.27,Cipla,LAMIVUDINE
LAMIVUDINE,202506,KG,USP,16215.6,95859332.96662642,5911.550171848493,Cipla,LAMIVUDINE
LAMIVUDINE,202507,KG,USP,8762.54,52708859.68731788,6015.248967458964,Cipla,LAMIVUDINE
LAMIVUDINE,202508,KG,USP,19329.99,114323043.16297911,5914.283616441556,Cipla,LAMIVUDINE
LAMIVUDINE,202509,KG,IP,250.0,1478750.0,5915.0,Cipla,LAMIVUDINE
LAMIVUDINE,202509,KG,USP,34358.24,203163117.80147988,5913.082794738028,Cipla,LAMIVUDINE
LAMIVUDINE,202510,KG,IP,450.0,2661750.0,5915.0,Cipla,LAMIVUDINE
LAMIVUDINE,202510,KG,USP,7039.75,41615835.22828578,5911.550158497927,Cipla,LAMIVUDINE
LAMIVUDINE,202511,KG,USP,5087.12,31887139.865056876,6268.210670292204,Cipla,LAMIVUDINE
LAMIVUDINE,202512,KG,USP,19375.0,114381716.17927735,5903.5724479627015,Cipla,LAMIVUDINE
LAMIVUDINE,202601,KG,IP,335.0,2110617.25,6300.35,Cipla,LAMIVUDINE
LAMIVUDINE,202601,KG,USP,18655.38,110778359.18313767,5938.145413448435,Cipla,LAMIVUDINE
LAMIVUDINE,202602,KG,USP,13381.0,79307606.5,5926.881884761976,Cipla,LAMIVUDINE
