api,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
TENOFOVIR_DISOPROXIL_FUMARATE,202501,KG,IH,15518.0,95998378.0,6186.259698414744,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202502,KG,IH,19024.83,118808347.8408256,6244.90982788417,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202503,KG,IH,14076.34,84713734.41229649,6018.164836335048,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202504,KG,IH,18945.16,113424536.98584688,5986.992824861172,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202505,KG,IH,17089.57,111756987.79320754,6539.485065639893,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202505,KG,IP ,400.0,2369852.0,5924.63,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202506,KG,IH,16918.515,98554580.96553613,5825.250086401563,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202507,KG,IH,6734.5,39700670.03587253,5895.117682956794,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202508,KG,IH,25621.445,150164619.2935561,5860.895796218992,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202509,KG,IH,33022.245,194194092.3754214,5880.705335915877,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202509,KG,IP ,662.485,4052109.287452392,6116.529864755265,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202510,KG,IH,13667.605,79617215.53536521,5825.249964084067,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202510,KG,IP ,737.515,4511032.525885926,6116.529868390373,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202511,KG,IH,1025.0,6505593.662967682,6346.920646797738,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202511,KG,IP ,725.0,4782685.0,6596.806896551724,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202512,KG,IH,21345.6,125339340.99249712,5871.905263496792,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202601,KG,IH,14638.0,86791890.04657134,5929.217792497017,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202601,KG,IP ,210.0,1286785.5,6127.55,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
TENOFOVIR_DISOPROXIL_FUMARATE,202602,KG,IH,12386.0,73263190.0,5915.0,Client A,TENOFOVIR_DISOPROXIL_FUMARATE
