Indian Port,Cush,BE_NO,BE_DATE,CTH,ITEM,QTY,UQC,UNIT_VALUE_INR,InvoiceUnitPriceFC,Invoice_Currency,TOTAL_VALUE,UPI,Total_Duty_Paid,IEC,IMPORTER,ADDRESS,CITY,Supp_Name,Supp_Address,CHA_NAME,Port_Of_Shipment,COUNTRY,source_file,yyyymm,GRADE_SPEC,outlier_reason_item,outlier_reason_text,outlier_reason_qty,outlier_reason_price,outlier_reason_usp,unit_price
Bombay,Inbom4,4492969,2025-09-13,29339990,Azithromycin For Peak Identification Crs-For Testing Purposeonlyazithromycin For Peak Identification Crs-For Testing Purpose,2.0,NOS,8523.14,79.0,Eur,17046.27,,4727.8,0397031441,Bliss Gvs Pharma Ltd,"102,Hyde Park,Sakivihar Road Andheri(E)",,European Directorate For The Quality Of Medicines,Healthcare Edqm. Strasbourgallee Kastner 7- - Cs 30026 Strasbourg 67081 Fr France,29,Strasbourg,FRANCE,data\raw\azithromycin_202603.xlsx,202509,USP,It is a pharmacopoeial reference standard that only mentions the molecule name.,It is a pharmacopoeial reference standard that only mentions the molecule name.,False,False,,
Bombay,Inbom4,4492969,2025-09-13,29339990,Azithromycin For System Suitability Crs-For Testing Purposeonlyazithromycin For System Suitability Crs-For Testing Purpose,2.0,NOS,8523.14,79.0,Eur,17046.27,,4727.8,0397031441,Bliss Gvs Pharma Ltd,"102,Hyde Park,Sakivihar Road Andheri(E)",,European Directorate For The Quality Of Medicines,Healthcare Edqm. Strasbourgallee Kastner 7- - Cs 30026 Strasbourg 67081 Fr France,29,Strasbourg,FRANCE,data\raw\azithromycin_202603.xlsx,202509,USP,It is a pharmacopoeial reference standard that only mentions the molecule name.,It is a pharmacopoeial reference standard that only mentions the molecule name.,False,False,,
Jnpt,Innsa1,9781347,2025-04-29,29415000,Azithromycin Amine Having Purity Nmt 94% Azithromycin Amine Having Purity Nmt 94%,1820.0,KG,10674.92,123.5,Usd,19428350.0,,0.0,0388114533,Mehta Api Pvt Ltd,315 318 Janki Centre Pl No 29 Shah Indl Est Off Veera D Rd Andheri W,"Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co,Jianghe Integration Green Intellige Industrial Zone Xinli Village Zhongxinhe Town Qiezihe District China,29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202504,USP,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,False,False,,
Hyderabad,Inhyd4,780,2025-11-01,29419090,Azithromycin Ip/Usp Decoquinate (Animal Feed And Not For Medicinal Use),500.0,KG,12595.4,142.0,Usd,6297700.0,,0.0,0916913554,Credo Life Sciences Pvt Ltd,"102 Aditya Trade Center,Ameerpet ,N/A","Hyderabad,Telangana",Zhejiang Guobang Pharmaceutical Co Ltd,"No.6,Weiwu Road, Hangzhou Gulf, Shangyu Industrial Zone, Zhejiang,China Cn",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,"The item description indicates it is for animal feed and not for medicinal use, which does not represent azithromycin as an active pharmaceutical ingredient.","The item description indicates it is for animal feed and not for medicinal use, which does not represent azithromycin as an active pharmaceutical ingredient.",False,False,,
Jnpt,Innsa1,5,2025-11-18,29419090,Azithromycin Amine.(Not For Medicinal Use). Azithromycin Amine.(Not For Medicinal Use).,2500.0,KG,10919.0,122.0,Usd,27297500.0,,7570961.5,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown ,Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Brilliant Pharmaceuticals Ltd,"Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China ., ., China China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,"The item description indicates it is not for medicinal use, suggesting it may not be a relevant API.","The item description indicates it is not for medicinal use, suggesting it may not be a relevant API.",False,False,,
Jnpt,Innsa1,9781347,2025-04-29,29415000,Azithromycin Amine Having Purity Nmt 94% Azithromycin Amine Having Purity Nmt 94%,2196.0,KG,10674.92,123.5,Usd,23442118.0,,0.0,0388114533,Mehta Api Pvt Ltd,315 318 Janki Centre Pl No 29 Shah Indl Est Off Veera D Rd Andheri W,"Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co,Jianghe Integration Green Intellige Industrial Zone Xinli Village Zhongxinhe Town Qiezihe District China,29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202504,USP,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,False,False,,
Jnpt,Innsa1,8715,2025-11-11,29419090,Azithromycin Amine. (Not For Medicine Use). Azithromycin Amine. (Not For Medicine Use).,5000.0,KG,10654.36,119.0,Usd,53271784.0,,14774930.0,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown ,Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Ningxia Taiyicin Biotech Co Ltd,"Pacific Road No. 1, Nuanquan Econom Ic Zone, Helan County, Yinchuan, Ni Ngxia, China ., , China China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,"The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.","The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.",False,False,,
Bangalore,Inblr4,3825376,2025-08-11,29349910,1A00850_Azithromycin B (3-Deoxyazithromycin) (25 Mg) 1A00850_Azithromycin B (3-Deoxyazithromycin) (25 Mg),1.0,NOS,256293.7,2700.0,Usd,256293.7,,71083.0,0712029630,Chromachemie Laboratory Pvt Ltd,,,United States Pharmacopeial Convention," ..12601, Twinbrook Parkway Rockville, Md 20852-1790, Usa New York, , Uni Ted States United Statesunited States",29,"Washington, Dulles I",UNITED STATES,data\raw\azithromycin_202603.xlsx,202508,USP,"The item description includes '3-Deoxyazithromycin', which is a derivative and not the primary azithromycin API.","The item description includes '3-Deoxyazithromycin', which is a derivative and not the primary azithromycin API.",False,False,,
Jnpt,Innsa1,4468642,2025-09-12,29419090,Azithromycin Amine Having Purity Nmt 94% Azithromycin Amine Having Purity Nmt 94%,12000.0,KG,10722.83,124.3,Null,128673912.0,,35687708.0,0388036591,Mehta Pharmaceutical Industries,"314,Janki Centre,Plot No.29, Shah Indl Est,Off Veera Desai Rd",,Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village, Zhongxinhe Town, Qiezihe District, China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202509,USP,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,False,False,,
Jnpt,Innsa1,0,2026-02-10,29413090,Azithromycin Amine Having Purity Nmt 94% Azithromycin Amine Having Purity Nmt 94%,11803.23,KG,11239.11,11239.11,Inr,132657776.0,,36792636.0,0388036591,Mehta Pharmaceutical Industries,"314,Janki Centre,Plot No.29, Shah Indl Est,Off Veera Desai Rd",Andheri(W) Maharashtra,Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co., Ltd.Pacific Road No. 1, Nuanquan Econom Ic Zone, Helan County,Yinchuan, Nin Gxia, China Chinachina",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202602,USP,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,False,False,,
