Indian Port,Cush,BE_NO,BE_DATE,CTH,ITEM,QTY,UQC,UNIT_VALUE_INR,InvoiceUnitPriceFC,Invoice_Currency,TOTAL_VALUE,UPI,Total_Duty_Paid,IEC,IMPORTER,ADDRESS,CITY,Supp_Name,Supp_Address,CHA_NAME,Port_Of_Shipment,COUNTRY,source_file,yyyymm,GRADE_SPEC,outlier_reason_item,outlier_reason_text,outlier_reason_qty,outlier_reason_price,unit_price
Bombay Air Cargo,Inbom4,3817123,2025-08-11,29339990,(F.O.C.) Tenofovir Disoproxil Fumarate (Samples For Transportation Study Purpose Only)(F.O.C.) Tenofovir Disoproxil Fumarate (Samples For Testing,15.0,GM,537.67,0.65,Usd,8065.04,,2236.9,388003791,Cipla Ltd,,,Pliva Croatia Ltd," .Prilaz Baruna Filipovica 25 10000 Z Agreb Croatia Zagreb, , Croatia Sdnf Croatiacroatia",29,Zagreb,India,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202508,USP,"The item description indicates that it is for testing and transportation study purposes only, suggesting it is not the active pharmaceutical ingredient itself.","The item description indicates that it is for testing and transportation study purposes only, suggesting it is not the active pharmaceutical ingredient itself.",False,False,
Hyderabad,Inhyd4,0,2025-12-24,29221990,"Tenofovir Disoproxil Fumarate Ip Impurity H,(Iteam No: Rm-T140636)Tenofovir Disoproxil Fumarate Ip Impurity H,(Iteam No Rm-T14",205.0,MG,209.21,2.29,Usd,42887.5,,11894.9,911028102,Olax Pharma Labs Pvt Ltd,"Plot No.16, 2Nd Floor, Akbar Road Diamond Point, Sikh Village",Hyderabad,Quality Control Solutions Ltd,"M/S Quality Control Solutions Ltd.B3-301A,401,402 Life Science Park, Sct Creative Factory, Pingshan District, Shenzhen,China Cnchina",29,Hong Kong,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202512,IH,It is an impurity standard related to Tenofovir Disoproxil Fumarate.,It is an impurity standard related to Tenofovir Disoproxil Fumarate.,False,False,
Hyderabad,Inhyd4,0,2025-12-24,29221990,"Tenofovir Disoproxil Fumarate Ip Impurity A,(Iteam No: Rm-T140620)Tenofovir Disoproxil Fumarate Ip Impurity A,(Iteam No Rm-T14",155.0,MG,123.63,1.35,Usd,19162.5,,5314.7,911028102,Olax Pharma Labs Pvt Ltd,"Plot No.16, 2Nd Floor, Akbar Road Diamond Point, Sikh Village",Hyderabad,Quality Control Solutions Ltd,"M/S Quality Control Solutions Ltd.B3-301A,401,402 Life Science Park, Sct Creative Factory, Pingshan District, Shenzhen,China Cnchina",29,Hong Kong,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202512,IP,"It is an impurity standard, related compound, or degradation product marker.","It is an impurity standard, related compound, or degradation product marker.",False,False,
Hyderabad,Inhyd4,0,2025-12-24,29221990,"Tenofovir Disoproxil Fumarate Ip Impurity J,(Iteam No: Rm-T140615)Tenofovir Disoproxil Fumarate Ip Impurity J,(Iteam No Rm-T14",205.0,MG,302.68,3.32,Usd,62050.0,,17209.5,911028102,Olax Pharma Labs Pvt Ltd,"Plot No.16, 2Nd Floor, Akbar Road Diamond Point, Sikh Village",Hyderabad,Quality Control Solutions Ltd,"M/S Quality Control Solutions Ltd.B3-301A,401,402 Life Science Park, Sct Creative Factory, Pingshan District, Shenzhen,China Cnchina",29,Hong Kong,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202512,IP,"It is an impurity standard, related compound, or degradation product marker.","It is an impurity standard, related compound, or degradation product marker.",False,False,
Madras Sea,,0,2025-11-07,29335990,Tenofovir Disoproxil Fumarate Tenofovir Disoproxil Fumarate,60.0,KG,6304.14,67.5,Usd,378248.5,,0.0,997003006,Hetero Labs Ltd,"Hetero Corporate, No. 7-2-A2, ,Industrial Estate,Sanathnagar",Hyderabad,Desano Ltd,"No.1479 Zhangheng Road, Zhang-Jiang Hi-Tech Park, Shanghai Sdnf China",29,Shanghai,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202511,USP,,Quantity 60 is below the minimum required amount of 419.,True,False,6304.141666666666
Madras Sea,,0,2025-11-07,29349990,Lamivudine Tenofovir Disoproxil Fumarate,120.0,KG,6304.14,67.5,Usd,756497.0,,0.0,997003006,Hetero Labs Ltd,"Hetero Corporate, No. 7-2-A2,,Indu,Strial Estate,Sanathnagar","Hyderabad,Telangana",Desano Ltd,"No.1479 Zhangheng Road, Zhang-Jiang Hi-Tech Park, Shanghai Sdnf China",29,Shanghai,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202511,USP,,Quantity 120 is below the minimum required amount of 419.,True,False,6304.141666666666
Jnpt,Innsa1,0,2026-02-03,29339990,Tenofovir Disoproxil Fumarate Tenofovir Disoproxil Fumarate,376.95,KG,6396.87,6396.87,Inr,2411300.75,,0.0,391172867,Macleods Pharmaceuticals Ltd,"304,Atlanta Arcade, Marol Church Rd,Andheri(E)",Mumbai Maharashtra,Desano Ltd,"Desano Limitedadd. No. 1479 Zhangheng Road, Zhang Jiang Hi-Tech Park, Shanghai 201203 , China Chinachina",29,Shanghai,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202602,USP,,Quantity 377 is below the minimum required amount of 419.,True,False,6396.871601008092
Jnpt,Innsa1,4439963,2025-09-11,29339990,Tenofovir Disoproxil Fumarate Tenofovir Disoproxil Fumarate,318.0,KG,6252.38,70.0,Usd,1988258.0,,0.0,391172867,Macleods Pharmaceuticals Ltd,"304,Atlanta Arcade, Marol Church Rd,Andheri(E)",,Desano Ltd,"Add. No. 1479 Zhangheng Road, Zhang Jiang Hi-Tech Park, Shanghai 201203, China",29,Shanghai,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202509,USP,,Quantity 318 is below the minimum required amount of 419.,True,False,6252.3836477987425
Jnpt,Innsa1,3776045,2025-08-08,29335990,Tenofovir Disoproxil Fumarate Tenofovir Disoproxil Fumarate,41.0,KG,6202.0,72.37,Usd,254282.0,,0.0,388003791,Cipla Ltd,,,Desano Ltd,"Desano Limitedno.1479 Zhangheng Road, Zhangjiang Hi-Tech Park, Shanghai 201203. Sdnf Chinachina",29,Shanghai,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202508,USP,,Quantity 41 is below the minimum required amount of 419.,True,False,6202.0
Chennai,Inmaa4,3643040,2025-08-02,29335990,Tenofovir Disoproxil Fumarate Tenofovir Disoproxil Fumarate,5.0,KG,10416.0,121.54,Usd,52080.0,,10538.4,997003006,Hetero Labs Ltd,,,Desano Ltd,"Desano Limitedno.1479 Zhangheng Road, Zheng-Jiang Hi-Tech Park, Shanghai Sdnf Chinachina",29,Shanghai,China,data\raw\TENOFOVIR_DISOPROXIL_FUMARATE_202603.xlsx,202508,USP,,Quantity 5 is below minimum threshold 419 | Unit price ₹10416.00 is outside range ₹4273–₹7935,True,True,10416.0
